index,bellver: (Italia),cuevas del drach: (Italia),formentor: (Italia),palma aquarium: (Italia),soller: (Italia),cala galdana: (Italia),cala mitjana: (Italia),monte toro: (Italia),cala macarella: (Italia),cala macarelleta: (Italia),albufera: (Italia),cala pregonda: (Italia),favaritx: (Italia),cala benirras: (Italia),es vedra: (Italia),ses salines: (Italia),cala salada: (Italia),ses illetes: (Italia),es pujols: (Italia),magaluf: (Italia),date
18,49,0,15,0,32,51,26,15,44,31,7,0,0,30,30,24,21,34,51,16,2017-02-01
19,0,42,8,47,86,52,26,15,43,33,12,34,0,0,30,24,21,23,54,19,2017-03-01
20,36,0,8,50,87,48,27,8,34,65,11,36,0,32,48,26,44,47,66,18,2017-04-01
21,99,47,7,100,42,30,30,15,25,35,25,69,0,66,17,48,68,34,58,19,2017-05-01
22,54,88,20,0,59,57,28,8,70,100,12,70,0,32,42,60,56,59,68,34,2017-06-01
23,37,46,28,51,62,100,44,11,49,68,8,90,74,100,50,94,69,63,85,87,2017-07-01
24,74,47,36,51,62,92,65,15,53,87,11,82,68,56,50,93,91,69,68,45,2017-08-01
25,65,41,14,46,34,15,77,15,21,0,7,32,67,30,28,24,41,65,37,13,2017-09-01
26,66,42,7,47,32,23,0,19,0,31,7,32,0,30,44,24,21,23,15,12,2017-10-01
27,32,0,7,90,31,15,0,7,21,30,14,32,0,0,14,23,0,0,21,5,2017-11-01
28,38,0,13,0,43,24,0,17,23,33,12,0,72,32,16,23,22,47,18,7,2017-12-01
29,31,39,18,44,49,29,25,7,21,0,19,0,0,0,28,0,20,21,46,12,2018-01-01
30,31,0,7,0,38,29,24,10,0,28,15,30,0,28,14,22,0,51,45,12,2018-02-01
31,32,41,7,43,45,32,49,7,21,58,15,30,66,30,18,35,30,44,49,17,2018-03-01
32,63,42,7,44,86,38,51,15,21,30,17,31,65,90,36,30,59,38,36,20,2018-04-01
33,47,39,10,43,60,43,24,7,31,29,20,60,65,28,36,45,29,32,52,22,2018-05-01
34,60,38,17,43,47,60,50,11,61,59,14,46,0,29,43,52,59,61,57,25,2018-06-01
35,32,40,18,45,72,80,49,11,56,75,16,63,65,56,51,68,100,65,67,36,2018-07-01
36,48,44,35,49,60,66,63,15,53,49,12,52,68,64,57,95,77,67,57,33,2018-08-01
37,0,38,17,0,49,33,71,21,20,29,17,61,62,27,32,22,75,41,38,14,2018-09-01
38,0,0,0,0,58,14,0,14,20,0,16,0,0,29,35,0,20,21,17,7,2018-10-01
39,0,0,7,44,20,28,0,14,0,28,9,31,0,0,31,22,0,21,20,5,2018-11-01
40,31,39,8,0,60,47,26,11,21,30,14,31,0,0,21,53,22,23,12,5,2018-12-01
41,29,0,13,0,31,27,25,13,21,30,16,31,0,0,27,52,20,31,38,8,2019-01-01
42,30,38,27,0,44,34,46,7,20,56,22,0,0,0,21,22,18,41,29,19,2019-02-01
43,61,39,21,44,100,22,49,14,20,29,100,31,63,0,28,22,39,21,37,16,2019-03-01
44,32,0,20,46,42,30,25,22,22,0,75,32,0,30,46,24,39,21,36,16,2019-04-01
45,29,72,20,41,66,41,34,7,39,56,18,0,0,40,94,32,55,26,48,14,2019-05-01
46,61,40,28,44,60,58,66,9,41,30,15,47,0,58,43,45,79,85,55,26,2019-06-01
47,48,54,32,45,61,73,100,22,56,45,17,60,63,57,35,32,78,65,56,36,2019-07-01
48,90,41,30,47,52,71,61,12,53,95,24,34,66,46,100,88,77,60,44,36,2019-08-01
49,30,37,23,0,60,22,46,17,19,28,16,42,58,26,31,42,56,57,25,15,2019-09-01
50,29,0,16,40,49,13,23,13,0,0,12,29,0,0,32,42,18,0,12,5,2019-10-01
51,28,34,6,0,35,32,22,6,0,26,12,0,0,0,12,20,17,19,16,4,2019-11-01
52,29,36,21,40,41,15,0,19,21,31,12,0,59,0,14,24,20,39,14,4,2019-12-01
53,54,35,18,40,35,24,23,9,18,0,21,0,0,0,12,29,17,19,30,11,2020-01-01
54,27,0,12,0,34,24,21,6,35,25,19,26,0,25,18,19,48,36,24,9,2020-02-01
55,24,0,76,0,32,23,20,28,0,24,8,0,0,23,11,36,14,34,21,5,2020-03-01
56,25,0,11,0,16,0,20,100,0,23,12,0,0,0,11,35,15,17,11,4,2020-04-01
57,24,0,42,0,64,12,0,8,16,23,13,0,0,22,23,17,16,17,11,4,2020-05-01
58,27,0,100,0,34,25,22,12,18,26,9,49,0,0,12,39,17,19,17,5,2020-06-01
59,0,35,59,39,38,51,22,18,25,0,9,39,0,36,29,20,50,25,27,7,2020-07-01
