index,Castell de Bellver: (España),Cuevas del Drach: (España),Cabo de Formentor: (España),Palma Aquarium: (España),Soller: (España),Cala Galdana: (España),Cala Mitjana: (España),Monte Toro: (España),Cala Macarella: (España),Cala Macarelleta: (España),Albufera: (España),Cala Pregonda: (España),Faro de Favaritx: (España),Cala Benirras: (España),Es Vedra: (España),ses Salines: (España),Cala Salada: (España),Ses Illetes: (España),Es Pujols: (España),Cap de Barbaria: (España),Ses Platgetes: (España),magaluf: (España),date
35,44,57,51,71,67,70,72,77,60,93,73,70,27,78,84,73,77,78,72,69,54,94,2018-07-01
36,67,84,60,82,87,83,91,100,90,79,83,86,28,65,83,100,85,92,68,76,55,100,2018-08-01
37,52,43,41,54,73,48,58,52,68,50,64,70,76,49,62,65,51,59,95,68,26,77,2018-09-01
38,48,30,35,50,61,16,12,47,11,28,71,21,0,31,33,48,18,21,46,28,0,39,2018-10-01
39,25,17,20,28,29,5,4,25,8,13,56,6,0,0,19,17,5,26,12,27,0,14,2018-11-01
40,37,22,24,18,28,8,9,58,12,16,67,7,26,14,23,17,6,13,14,29,0,14,2018-12-01
41,16,13,21,14,25,10,4,50,5,13,73,6,24,12,18,22,15,9,17,40,0,10,2019-01-01
42,39,20,60,20,33,12,8,34,11,14,78,12,25,12,22,29,8,20,18,27,0,14,2019-02-01
43,55,23,41,21,44,17,8,52,14,28,72,12,25,12,21,25,15,17,20,46,0,28,2019-03-01
44,53,34,40,100,76,26,13,33,17,14,76,20,26,38,35,37,23,23,30,28,0,66,2019-04-01
45,40,30,20,62,57,40,25,33,21,26,67,17,24,27,59,42,28,55,44,44,25,46,2019-05-01
46,44,70,41,55,59,56,59,49,80,69,76,70,50,60,67,64,56,67,58,61,52,82,2019-06-01
47,38,75,60,73,77,76,73,87,70,46,84,100,26,47,79,67,61,76,90,70,26,90,2019-07-01
48,66,100,53,86,100,81,100,82,100,79,100,99,41,100,100,85,100,86,90,99,27,93,2019-08-01
49,57,53,64,71,76,67,73,64,57,29,65,61,23,72,61,59,67,57,93,77,36,70,2019-09-01
50,35,23,54,60,53,32,12,41,15,12,70,21,34,40,40,42,16,21,37,49,0,37,2019-10-01
51,48,19,36,37,29,7,3,19,5,12,56,10,22,0,23,18,9,8,16,24,0,15,2019-11-01
52,33,13,20,18,27,18,8,23,10,14,61,6,25,12,20,21,5,12,16,0,0,11,2019-12-01
53,28,13,17,16,26,12,3,43,7,12,71,5,0,11,19,21,5,8,15,23,22,15,2020-01-01
54,48,17,26,28,35,14,3,44,9,23,67,10,22,10,18,15,5,10,13,47,0,15,2020-02-01
55,35,11,33,26,35,10,8,49,5,11,55,5,40,9,26,20,4,19,13,22,0,15,2020-03-01
56,23,6,0,4,13,4,3,21,8,10,39,4,20,9,28,21,6,11,11,21,0,17,2020-04-01
57,24,13,32,5,20,14,10,40,7,10,44,7,20,9,42,23,10,13,30,22,20,14,2020-05-01
58,18,17,35,10,30,34,14,29,17,35,76,25,32,21,26,33,15,37,46,39,22,19,2020-06-01
59,26,23,26,30,45,51,35,78,35,29,70,55,33,46,62,68,31,51,57,100,33,54,2020-07-01
