,Semana,Museo Nacional del Prado: (Dinamarca),plaza mayor: (Dinamarca),el retiro: (Finlandia),Puerta del Sol: (Finlandia),gran via: (Finlandia),Museo Nacional Thyssen-Bornemisza: (Finlandia),cibeles: (Finlandia),Puerta de Alcalá: (Finlandia),callao: (Finlandia)
39,2016-05-01,29,0,0,50,56,0,0,0,0
40,2016-05-08,0,93,0,46,52,0,0,0,0
41,2016-05-15,0,46,0,46,52,0,63,0,0
42,2016-05-22,0,47,0,0,54,0,0,0,0
43,2016-05-29,28,0,0,0,55,0,0,0,0
44,2016-06-05,27,0,0,0,0,0,0,0,0
45,2016-06-12,27,45,0,0,47,59,56,0,0
46,2016-06-19,28,0,0,45,0,0,0,0,0
47,2016-06-26,0,0,0,43,48,0,0,0,0
48,2016-07-03,0,0,0,0,48,0,0,0,0
49,2016-07-10,0,53,0,0,0,0,0,0,0
50,2016-07-17,47,59,0,0,53,0,0,0,46
51,2016-07-24,66,0,0,0,0,0,0,0,46
52,2016-07-31,31,51,0,0,48,0,0,0,0
53,2016-08-07,29,0,0,0,74,0,0,0,44
54,2016-08-14,30,100,0,0,100,0,0,0,0
55,2016-08-21,30,51,0,0,0,0,0,0,43
56,2016-08-28,28,0,0,0,0,0,0,0,0
57,2016-09-04,29,0,0,0,0,59,0,0,42
58,2016-09-11,29,0,0,42,63,0,0,0,0
59,2016-09-18,29,48,0,0,94,0,0,0,41
60,2016-09-25,0,0,0,0,47,0,0,0,41
61,2016-10-02,42,47,73,0,0,59,0,0,0
62,2016-10-09,43,71,0,0,48,0,0,0,42
63,2016-10-16,61,0,0,0,0,0,0,0,43
64,2016-10-23,28,0,0,0,0,0,0,0,83
65,2016-10-30,56,0,0,41,0,0,0,0,0
66,2016-11-06,55,46,0,0,0,0,55,0,40
67,2016-11-13,0,0,0,0,46,0,0,0,0
68,2016-11-20,0,0,69,0,45,0,0,0,0
69,2016-11-27,27,0,0,0,0,0,0,0,0
70,2016-12-04,26,0,70,0,0,0,0,0,40
71,2016-12-11,53,44,0,40,45,0,0,0,78
72,2016-12-18,50,51,0,0,49,61,0,0,0
73,2016-12-25,31,51,0,43,49,0,0,0,0
74,2017-01-01,27,0,0,0,45,0,55,0,40
75,2017-01-08,26,0,0,38,0,0,0,0,57
76,2017-01-15,43,43,0,0,43,0,0,0,0
77,2017-01-22,39,43,67,0,0,0,0,100,76
78,2017-01-29,51,43,0,38,43,0,0,0,0
79,2017-02-05,39,44,0,0,43,0,0,0,0
80,2017-02-12,56,0,0,0,43,0,0,0,39
81,2017-02-19,51,0,67,39,43,0,0,0,0
82,2017-02-26,25,41,0,0,42,0,0,0,0
83,2017-03-05,37,41,0,37,42,0,0,0,38
