Semana,Museo Nacional del Prado: (Bélgica),Plaza Mayor: (Bélgica),Parque de El Retiro: (Bélgica),puerta del sol: (Bélgica),gran via: (Bélgica),Museo Nacional Thyssen-Bornemisza: (Bélgica),Templo de Debod: (Bélgica),Catedral de Santa María la Real de la Almudena: (Bélgica),cibeles: (Bélgica),Palacio de Cristal: (Bélgica),El Rastro: (Bélgica),Plaza de Toros de Las Ventas: (Bélgica),Chueca: (Bélgica),callao: (Bélgica),Calle de Serrano: (Bélgica)
2016-05-01,0,48,51,0,18,23,0,100,0,54,0,0,0,100,0
2016-05-08,26,44,47,0,17,21,0,0,0,0,0,0,67,18,0
2016-05-15,50,0,0,0,16,20,0,0,0,0,0,52,67,36,57
2016-05-22,40,41,0,0,32,29,0,43,49,47,0,0,0,0,55
2016-05-29,16,39,0,20,20,19,0,0,48,0,0,0,0,17,53
2016-06-05,17,42,0,21,0,0,0,44,51,0,0,0,100,27,0
2016-06-12,47,40,0,50,39,19,47,0,49,0,0,0,64,34,0
2016-06-19,0,0,46,0,33,20,0,0,0,49,46,0,0,30,0
2016-06-26,34,87,0,0,17,41,0,0,0,0,0,0,0,18,0
2016-07-03,40,50,0,25,52,24,0,53,0,0,0,0,0,21,0
2016-07-10,0,51,56,26,39,24,0,0,0,0,57,0,81,64,0
2016-07-17,22,0,63,0,22,27,0,0,0,0,0,0,0,36,77
2016-07-24,21,53,0,26,21,25,0,55,66,0,0,0,0,30,0
2016-07-31,40,51,56,26,20,24,0,54,0,59,0,0,0,21,0
2016-08-07,0,52,0,26,41,100,61,0,0,0,0,0,0,44,0
2016-08-14,0,55,60,27,0,26,0,0,0,63,0,0,86,53,0
2016-08-21,40,51,56,26,20,0,0,54,0,0,0,0,0,21,68
2016-08-28,0,48,0,0,31,0,56,0,0,0,0,0,0,0,65
2016-09-04,29,0,0,24,57,23,0,51,60,0,0,0,0,21,0
2016-09-11,38,48,53,48,19,23,0,0,59,0,0,0,76,20,0
2016-09-18,0,0,0,24,37,46,0,0,58,0,0,0,0,20,0
2016-09-25,54,47,0,23,36,22,0,0,0,0,0,0,0,0,0
2016-10-02,18,46,0,23,71,0,0,49,56,0,0,0,72,39,62
2016-10-09,46,46,0,23,48,22,0,0,0,0,0,0,0,19,0
2016-10-16,73,0,50,23,24,22,54,0,0,0,50,0,0,51,0
2016-10-23,18,46,100,23,44,22,0,0,56,0,0,0,73,32,61
2016-10-30,56,48,0,24,25,45,0,0,0,0,0,0,0,40,0
2016-11-06,18,0,48,22,26,32,0,0,0,51,0,55,0,0,0
2016-11-13,35,0,0,22,17,21,0,0,0,0,0,53,0,18,0
2016-11-20,26,0,48,0,26,0,0,46,53,0,0,0,69,19,0
2016-11-27,35,0,0,22,25,21,0,0,0,0,0,53,0,37,0
2016-12-04,34,43,71,0,25,21,0,0,0,0,47,0,68,18,0
2016-12-11,17,43,47,21,25,21,50,45,0,0,47,52,69,27,0
2016-12-18,36,0,0,23,18,22,53,0,0,0,100,0,0,19,0
2016-12-25,0,96,0,24,19,0,0,0,0,0,0,0,0,20,0
