Semana,Museo Nacional del Prado: (Dinamarca),plaza mayor: (Dinamarca),Parque de El Retiro: (Grecia),Puerta del Sol: (Grecia),gran via: (Grecia),Museo Nacional Thyssen-Bornemisza: (Grecia),cibeles: (Grecia),Palacio de Cristal: (Grecia),chueca: (Grecia),callao: (Grecia)
2017-03-26,38,0,0,0,0,0,0,0,0,0
2017-04-02,26,0,0,31,44,0,0,0,0,45
2017-04-09,28,47,0,0,98,0,0,0,0,0
2017-04-16,0,44,0,0,0,0,0,0,0,47
2017-04-23,24,41,0,0,0,0,0,0,0,45
2017-04-30,51,43,0,0,0,0,0,0,84,0
2017-05-07,39,0,0,0,43,0,85,0,0,0
2017-05-14,28,47,0,0,45,0,0,0,0,47
2017-05-21,30,51,60,0,0,0,0,0,0,47
2017-05-28,0,0,0,0,46,0,92,0,86,0
2017-06-04,27,0,0,0,0,0,0,0,87,0
2017-06-11,27,45,0,0,45,0,0,0,0,0
2017-06-18,0,0,0,0,0,0,0,90,0,69
2017-06-25,0,98,0,33,47,0,0,0,0,48
2017-07-02,30,0,0,0,47,0,0,0,0,49
2017-07-09,31,79,0,0,0,0,0,0,0,0
2017-07-16,63,53,0,32,46,0,0,0,0,0
2017-07-23,49,50,0,0,47,53,0,0,0,0
2017-07-30,37,46,61,0,47,0,0,0,0,0
2017-08-06,27,46,0,0,0,0,0,0,0,50
2017-08-13,27,45,0,36,0,0,0,0,0,53
2017-08-20,51,0,0,0,44,50,0,0,0,0
2017-08-27,39,44,57,0,0,48,0,86,0,44
2017-09-03,25,42,0,0,0,48,85,0,0,44
2017-09-10,25,42,0,0,43,49,0,86,0,0
2017-09-17,26,0,58,0,44,0,0,0,0,0
2017-09-24,50,42,0,0,0,0,0,0,0,0
2017-10-01,24,41,0,31,0,0,0,0,0,0
2017-10-08,26,43,0,0,0,100,0,0,83,0
2017-10-15,0,46,0,31,0,0,0,0,0,0
2017-10-22,25,42,0,0,44,0,0,0,0,0
2017-10-29,0,41,0,31,44,51,0,0,84,0
2017-11-05,25,41,0,0,0,51,0,0,0,0
2017-11-12,24,0,0,0,0,48,0,0,80,0
2017-11-19,0,0,0,31,0,0,0,0,84,0
2017-11-26,0,0,0,30,0,0,0,0,0,0
2017-12-03,24,0,0,32,0,0,0,0,0,0
2017-12-10,0,41,0,0,45,0,0,0,0,47
2017-12-17,27,0,0,0,0,0,0,0,0,0
2017-12-24,29,49,0,34,0,0,0,0,0,0
2017-12-31,26,0,0,33,0,0,0,0,0,0
2018-01-07,24,40,0,100,0,0,0,0,0,44
2018-01-14,24,0,0,0,42,0,83,0,0,0
2018-01-21,49,41,0,0,42,48,85,0,0,0
2018-01-28,36,0,0,0,43,0,0,0,0,0
2018-02-04,0,0,0,0,0,0,0,0,0,0
2018-02-11,52,44,0,0,0,0,0,0,0,0
2018-02-18,25,42,56,0,43,0,0,0,0,0
2018-02-25,36,0,0,0,41,46,0,0,0,0
2018-03-04,24,0,0,0,0,0,0,85,0,0
2018-03-11,24,0,56,0,0,49,0,0,0,44
2018-03-18,0,0,0,0,0,0,0,0,0,0
2018-03-25,0,46,0,61,0,50,0,0,0,0
2018-04-01,49,62,0,0,48,0,0,0,0,0
2018-04-08,41,0,0,0,0,0,0,0,0,0
2018-04-15,50,42,0,0,0,0,0,0,0,0
2018-04-22,24,41,0,31,0,0,0,0,0,0
2018-04-29,36,0,0,30,43,48,0,0,0,89
2018-05-06,26,43,0,28,40,0,0,0,0,0
2018-05-13,0,0,0,29,42,0,0,0,79,44
2018-05-20,26,0,0,0,0,48,0,84,79,0
2018-05-27,37,0,55,0,42,0,0,0,79,43
2018-06-03,38,0,55,0,0,0,0,0,0,0
2018-06-10,0,0,0,0,77,0,0,0,0,0
2018-06-17,0,39,0,0,0,0,0,0,0,0
2018-06-24,26,44,0,0,0,0,0,0,0,0
2018-07-01,55,46,0,28,0,45,0,0,75,0
2018-07-08,27,46,0,0,39,0,0,0,0,0
2018-07-15,0,50,54,0,41,47,0,0,0,0
2018-07-22,0,0,0,0,0,0,0,0,72,40
2018-07-29,27,0,0,0,40,0,79,0,75,0
2018-08-05,58,42,0,0,41,47,0,0,0,0
2018-08-12,25,41,0,0,0,0,0,0,0,46
2018-08-19,74,62,0,0,0,46,0,0,0,0
2018-08-26,24,0,0,0,38,0,76,0,0,0
2018-09-02,25,0,0,0,38,43,0,0,0,0
2018-09-09,24,0,0,28,0,0,0,0,0,41
2018-09-16,37,0,53,28,80,0,0,0,0,41
2018-09-23,25,61,0,26,0,0,0,0,0,0
2018-09-30,32,41,0,0,40,0,0,0,0,0
2018-10-07,60,0,0,0,0,48,0,0,0,0
2018-10-14,28,46,0,0,0,0,0,0,0,88
2018-10-21,100,42,0,0,0,0,0,0,0,44
2018-10-28,0,0,0,30,43,49,0,0,0,0
2018-11-04,24,0,0,0,43,0,0,0,0,0
2018-11-11,25,42,0,30,0,0,0,0,0,0
2018-11-18,24,40,0,0,0,0,0,0,78,0
2018-11-25,36,41,0,29,41,0,0,0,77,43
2018-12-02,24,0,0,30,0,0,0,0,80,0
2018-12-09,25,0,0,0,42,0,0,0,0,0
2018-12-16,26,44,0,30,43,0,0,0,81,45
2018-12-23,29,0,0,0,48,54,0,0,0,50
2018-12-30,27,0,0,0,87,0,0,0,0,0
2019-01-06,24,0,0,0,0,0,0,0,0,0
2019-01-13,25,41,0,29,0,0,82,0,0,0
2019-01-20,25,0,52,0,0,45,0,0,0,0
2019-01-27,48,0,53,0,54,0,80,82,75,0
2019-02-03,25,0,0,28,0,0,0,81,0,0
2019-02-10,27,0,0,0,40,0,0,0,0,83
2019-02-17,24,41,0,28,41,46,81,0,0,42
2019-02-24,25,41,0,0,82,46,0,0,0,0
2019-03-03,0,0,0,0,44,0,0,0,0,90
2019-03-10,24,41,0,0,0,0,0,0,0,45
2019-03-17,0,41,0,0,0,48,0,86,0,0
2019-03-24,24,40,0,30,0,0,0,84,0,0
2019-03-31,51,0,0,0,0,0,0,84,79,0
2019-04-07,25,0,0,0,0,47,0,0,0,0
2019-04-14,29,48,0,0,42,0,0,0,0,0
2019-04-21,25,0,61,0,0,0,0,0,0,0
2019-04-28,24,40,0,0,0,0,0,94,0,48
2019-05-05,24,0,0,0,40,0,0,0,0,0
2019-05-12,0,0,0,28,40,0,0,80,0,41
2019-05-19,0,82,0,0,40,0,0,0,75,83
2019-05-26,49,0,0,26,37,0,0,0,0,0
2019-06-02,0,0,0,0,0,0,0,0,0,0
2019-06-09,37,0,0,27,39,0,0,0,73,40
2019-06-16,25,42,0,0,0,0,0,0,0,41
2019-06-23,26,45,0,0,0,0,0,0,0,0
2019-06-30,27,45,0,0,0,0,0,0,0,0
2019-07-07,28,93,49,0,0,0,0,0,70,38
2019-07-14,0,97,0,26,38,0,0,0,71,78
2019-07-21,59,0,0,0,0,0,0,0,0,40
2019-07-28,68,45,0,28,0,0,0,0,0,0
2019-08-04,52,0,52,28,40,0,0,79,0,0
2019-08-11,36,40,0,57,41,0,81,81,76,0
2019-08-18,24,41,0,0,0,0,0,0,0,0
2019-08-25,24,41,48,0,0,0,0,0,0,0
2019-09-01,23,0,0,25,36,0,0,71,67,0
2019-09-08,24,0,0,25,36,0,0,0,0,0
2019-09-15,24,0,0,25,36,0,0,0,0,0
2019-09-22,40,0,0,0,36,0,0,72,68,0
2019-09-29,59,40,0,0,36,0,0,0,0,0
2019-10-06,24,40,0,0,0,0,0,0,0,0
2019-10-13,25,42,100,27,38,43,0,0,0,39
2019-10-20,24,39,51,0,0,0,0,0,0,0
2019-10-27,36,40,0,27,38,0,0,0,72,0
2019-11-03,47,0,0,26,38,0,74,0,0,39
2019-11-10,23,0,0,26,0,0,76,0,0,0
2019-11-17,94,0,0,26,0,0,0,0,0,0
2019-11-24,22,37,48,0,36,41,0,0,0,37
2019-12-01,23,39,0,0,0,0,0,0,0,0
2019-12-08,23,39,50,0,38,0,0,0,0,39
2019-12-15,0,40,0,36,38,43,0,76,0,0
2019-12-22,0,46,0,0,41,0,0,0,0,0
2019-12-29,25,41,0,0,39,0,0,0,0,0
2020-01-05,22,0,0,0,37,42,0,73,0,0
2020-01-12,0,36,0,0,35,80,0,0,0,0
2020-01-19,53,76,0,0,36,42,0,0,0,0
2020-01-26,30,38,0,0,0,0,0,0,0,0
2020-02-02,38,39,46,25,0,0,0,0,0,0
2020-02-09,59,0,0,25,36,41,0,0,0,37
2020-02-16,22,0,0,0,36,0,0,0,0,37
2020-02-23,0,0,0,24,0,0,0,0,0,0
2020-03-01,44,0,0,0,0,0,0,0,0,0
2020-03-08,21,71,0,24,0,39,0,0,0,0
2020-03-15,63,0,0,0,0,0,0,0,0,0
2020-03-22,21,0,0,21,0,0,60,0,0,62
2020-03-29,20,0,0,0,0,0,0,0,0,31
2020-04-05,23,0,0,0,0,0,0,0,0,0
2020-04-12,21,0,0,24,0,38,0,0,0,0
2020-04-19,22,0,45,24,0,0,0,0,0,0
2020-04-26,20,0,0,0,0,0,0,0,63,0
2020-05-03,35,0,0,0,0,0,0,0,0,0
2020-05-10,21,0,0,0,0,0,0,0,0,37
2020-05-17,44,0,0,25,36,0,0,0,0,0
2020-05-24,0,36,0,0,0,0,0,0,65,36
2020-05-31,0,0,0,0,34,0,0,0,0,0
2020-06-07,21,35,46,0,35,0,0,0,0,0
2020-06-14,22,0,0,0,0,0,0,0,0,0
2020-06-21,35,0,0,0,0,0,0,0,0,72
2020-06-28,66,0,0,0,0,0,0,0,0,0
2020-07-05,23,39,0,0,0,0,0,0,0,0
2020-07-12,41,42,0,0,0,0,0,0,0,0
2020-07-19,24,0,0,0,0,0,0,0,0,0
2020-07-26,0,0,0,0,0,0,0,0,0,0
