Semana,Museo Nacional del Prado: (Portugal),Plaza Mayor: (Portugal),Parque de El Retiro: (Portugal),Puerta del Sol: (Portugal),gran via: (Portugal),Museo Nacional Thyssen-Bornemisza: (Portugal),Templo de Debod: (Portugal),Catedral de Santa María la Real de la Almudena: (Portugal),cibeles: (Portugal),Palacio de Cristal: (Portugal),Puerta de Alcalá: (Portugal),El Rastro: (Portugal),Plaza de Toros de Las Ventas: (Portugal),Chueca: (Portugal),callao: (Portugal)
2016-11-13,1,0,0,44,20,34,0,29,36,41,0,0,0,29,0
2016-11-20,1,0,0,20,29,32,0,0,47,25,0,0,0,57,0
2016-11-27,1,0,0,21,20,0,0,0,0,45,52,0,26,29,0
2016-12-04,1,0,0,0,30,33,47,43,0,20,0,0,0,28,33
2016-12-11,<1,31,0,21,30,33,0,29,0,15,0,60,0,38,0
2016-12-18,1,0,36,24,44,0,53,32,0,0,0,0,0,0,0
2016-12-25,<1,0,35,24,51,74,0,0,0,0,58,0,29,0,0
2017-01-01,<1,30,63,21,19,33,0,0,0,0,51,0,26,0,32
2017-01-08,<1,60,0,21,32,32,0,28,0,0,0,0,26,28,32
2017-01-15,1,0,0,21,57,32,0,83,0,0,0,0,26,56,0
2017-01-22,1,0,0,20,37,0,0,0,0,0,0,0,25,0,0
2017-01-29,1,27,29,19,18,0,0,0,42,0,47,0,24,0,30
2017-02-05,1,28,30,20,31,31,44,26,22,14,0,0,0,27,31
2017-02-12,<1,28,0,29,46,46,0,53,0,0,48,0,24,26,0
2017-02-19,1,29,60,20,19,32,0,27,23,0,0,0,0,55,31
2017-02-26,1,28,0,19,27,30,43,26,0,14,0,0,0,26,0
2017-03-05,1,41,43,0,29,29,85,51,0,20,0,0,0,38,30
2017-03-12,<1,0,29,38,30,0,0,51,0,20,47,0,24,0,0
2017-03-19,1,55,29,0,27,90,0,52,0,14,0,0,24,39,30
2017-03-26,1,0,29,39,54,0,0,26,44,21,95,0,24,0,0
2017-04-02,<1,0,30,20,19,32,68,27,23,43,100,0,25,0,0
2017-04-09,<1,30,31,21,45,32,0,56,23,15,51,0,26,42,33
2017-04-16,<1,29,45,40,31,31,89,0,45,0,0,0,25,0,31
2017-04-23,1,28,30,30,84,31,44,27,22,0,73,0,25,0,31
2017-04-30,1,58,30,20,37,31,90,27,23,14,0,0,25,27,47
2017-05-07,1,28,29,19,35,30,0,26,0,0,0,0,39,0,0
2017-05-14,1,0,32,21,39,65,47,0,24,15,0,0,53,29,0
2017-05-21,<1,46,32,21,40,33,0,0,83,0,0,0,26,29,33
2017-05-28,1,30,32,0,29,32,47,0,23,15,0,0,65,0,33
2017-06-04,1,0,32,43,20,49,0,0,24,15,0,0,26,29,0
2017-06-11,1,0,68,0,35,71,51,0,0,16,0,0,28,31,36
2017-06-18,1,0,31,21,58,0,0,28,0,15,0,0,26,28,33
2017-06-25,<1,0,0,44,40,0,0,0,24,0,0,60,0,0,0
2017-07-02,<1,0,33,45,28,35,0,0,0,16,54,0,28,0,34
2017-07-09,<1,32,100,22,21,0,0,0,0,0,0,61,27,0,52
2017-07-16,1,31,32,21,20,33,48,29,24,23,0,0,27,0,34
2017-07-23,1,0,33,22,27,34,0,0,0,15,0,0,0,0,34
2017-07-30,<1,0,47,21,39,0,47,28,23,0,0,0,0,0,33
2017-08-06,<1,0,79,21,46,65,47,29,24,0,0,58,26,57,0
2017-08-13,<1,0,67,23,28,0,50,0,25,27,0,0,56,30,35
2017-08-20,<1,46,32,21,20,33,47,28,0,23,52,0,0,29,33
2017-08-27,1,30,31,21,19,0,46,0,23,15,0,0,25,0,0
2017-09-03,<1,0,0,0,47,32,45,0,23,14,50,0,26,27,32
2017-09-10,1,0,31,0,38,31,46,27,0,29,0,0,0,28,32
2017-09-17,1,29,0,20,44,32,0,27,45,14,0,0,0,27,32
2017-09-24,1,0,30,0,57,0,45,0,23,0,0,0,50,0,31
2017-10-01,<1,85,30,0,46,31,66,0,0,21,0,0,24,0,0
2017-10-08,<1,0,0,20,28,31,44,0,22,14,0,55,0,27,0
2017-10-15,1,55,29,0,18,0,43,0,0,14,47,53,0,26,0
2017-10-22,1,0,30,0,56,31,0,0,0,14,50,55,0,0,31
2017-10-29,<1,0,29,20,74,61,0,0,44,14,0,0,25,40,61
2017-11-05,<1,0,30,20,28,31,0,54,22,0,49,56,0,0,31
2017-11-12,0,29,40,30,46,0,45,54,0,29,49,0,0,0,31
2017-11-19,1,0,43,19,27,0,0,52,63,13,0,0,23,0,0
2017-11-26,1,0,46,0,50,32,91,28,0,14,0,0,0,41,31
2017-12-03,<1,0,0,31,45,0,0,28,0,15,0,58,26,28,0
2017-12-10,<1,0,0,20,38,0,0,0,0,14,0,57,50,28,0
2017-12-17,1,0,33,22,41,34,0,30,0,0,0,0,27,0,0
2017-12-24,1,62,49,22,61,100,0,44,0,23,0,0,27,0,34
2017-12-31,1,0,30,0,28,0,0,79,22,14,0,0,24,27,31
2018-01-07,<1,0,29,25,35,44,42,26,0,27,47,0,24,26,0
2018-01-14,<1,55,58,0,35,30,43,26,21,0,0,53,24,26,30
2018-01-21,<1,0,57,25,41,0,42,0,0,14,47,0,0,0,0
2018-01-28,<1,55,0,19,36,30,0,26,0,41,48,53,24,26,30
2018-02-04,<1,0,0,19,30,0,43,26,43,14,0,0,0,26,30
2018-02-11,<1,56,29,19,54,30,42,0,21,41,0,0,0,26,30
2018-02-18,<1,0,29,57,36,45,43,52,0,0,0,52,0,0,30
2018-02-25,<1,52,0,0,39,0,0,0,0,19,0,100,22,0,0
2018-03-04,<1,53,27,37,17,28,41,0,0,13,45,0,23,0,29
2018-03-11,1,26,27,18,34,56,41,24,0,13,0,0,22,25,0
2018-03-18,5,28,29,29,36,30,43,0,43,0,0,0,24,0,30
2018-03-25,<1,0,50,20,37,31,45,27,0,14,0,0,24,27,0
2018-04-01,<1,0,37,31,51,38,41,49,0,13,0,0,23,0,0
2018-04-08,<1,26,27,0,42,28,41,24,0,13,0,0,34,33,29
2018-04-15,1,26,27,18,17,0,41,0,0,17,45,50,45,24,28
2018-04-22,1,27,28,19,18,29,0,25,21,13,47,0,23,25,0
2018-04-29,<1,54,0,19,41,44,42,0,21,18,0,0,70,26,29
2018-05-06,1,27,42,19,17,29,0,0,0,13,0,52,100,25,29
2018-05-13,1,0,28,19,35,0,63,25,0,18,0,52,35,0,29
2018-05-20,1,0,0,18,34,28,41,25,31,26,0,0,61,0,43
2018-05-27,1,0,58,19,35,30,0,43,21,14,47,0,32,0,29
2018-06-03,<1,0,54,18,25,42,40,24,0,13,0,0,55,0,28
2018-06-10,<1,26,0,18,17,0,40,0,20,25,0,0,22,24,28
2018-06-17,1,26,27,18,40,0,41,0,0,0,0,0,23,25,29
2018-06-24,<1,26,55,27,28,28,41,25,0,13,45,51,23,25,57
2018-07-01,1,26,27,18,28,28,41,25,0,20,45,0,23,25,29
2018-07-08,<1,0,0,27,17,0,41,0,0,13,0,0,23,0,29
2018-07-15,1,27,28,19,26,0,42,25,21,22,0,0,23,25,29
2018-07-22,1,27,83,19,35,0,0,0,21,13,0,0,23,0,0
2018-07-29,<1,0,28,37,23,58,41,25,0,26,0,0,23,25,29
2018-08-05,<1,0,27,18,62,0,0,49,20,39,0,50,22,24,57
2018-08-12,<1,28,58,19,27,30,64,26,21,41,47,0,47,39,75
2018-08-19,1,56,29,26,36,0,0,26,22,27,47,0,24,0,30
2018-08-26,1,0,57,19,62,0,0,26,21,18,0,0,23,26,30
2018-09-02,<1,26,37,18,28,29,0,0,20,20,45,0,23,25,57
2018-09-09,<1,40,83,56,52,29,41,0,0,27,46,0,0,25,29
2018-09-16,<1,0,28,19,70,0,0,0,21,20,0,0,23,25,0
2018-09-23,1,27,0,0,17,29,82,50,21,26,45,0,23,25,29
2018-09-30,1,56,29,32,48,30,43,39,22,28,0,0,24,26,0
2018-10-07,<1,0,0,19,58,0,42,25,21,18,46,0,31,25,30
2018-10-14,<1,0,29,0,36,30,85,26,0,14,47,0,0,26,0
2018-10-21,0,27,85,19,26,29,0,26,0,0,0,0,0,51,30
2018-10-28,1,29,30,20,28,31,44,27,0,33,0,55,24,27,0
2018-11-04,1,0,0,19,41,0,0,25,0,13,0,52,0,25,58
2018-11-11,1,28,0,20,27,0,44,26,0,21,0,0,24,26,46
2018-11-18,1,0,0,19,34,0,0,25,0,0,0,0,0,25,0
2018-11-25,<1,55,29,19,18,30,0,0,22,14,0,0,0,26,30
2018-12-02,<1,29,0,30,37,61,44,0,22,14,49,0,25,27,31
2018-12-09,<1,0,0,31,44,31,0,0,0,14,0,57,0,28,0
2018-12-16,<1,0,31,21,39,0,0,28,0,15,51,0,0,0,0
2018-12-23,1,65,0,46,42,89,0,0,25,0,0,0,0,30,0
2018-12-30,1,0,33,65,50,34,48,44,0,31,0,0,27,29,34
2019-01-06,<1,0,30,50,28,0,0,27,0,0,0,55,25,54,31
2019-01-13,<1,28,0,19,45,30,43,26,0,14,47,0,24,26,0
2019-01-20,<1,0,0,29,47,30,42,25,21,20,47,0,35,26,30
2019-01-27,1,0,28,19,35,58,0,0,0,31,46,52,23,0,29
2019-02-03,1,27,57,19,36,89,43,0,0,77,0,0,0,26,30
2019-02-10,1,52,56,25,29,29,41,25,20,57,0,0,0,26,29
2019-02-17,1,53,28,37,52,29,83,25,0,48,0,0,23,0,44
2019-02-24,1,0,28,38,35,29,42,76,0,40,46,0,23,25,29
2019-03-03,1,0,59,20,45,31,43,26,22,65,48,0,25,40,0
2019-03-10,1,54,43,19,27,30,0,0,21,59,0,0,24,26,30
2019-03-17,<1,28,29,59,63,0,43,0,0,78,0,54,48,0,0
2019-03-24,1,27,58,19,54,75,0,26,21,36,47,0,36,0,40
2019-03-31,1,0,28,19,23,29,41,25,21,18,0,0,47,50,0
