Semana,Museo Nacional del Prado: (Austria),plaza mayor: (Austria),puerta del sol: (Austria),gran via: (Austria),Museo Nacional Thyssen-Bornemisza: (Austria),Catedral de Santa María la Real de la Almudena: (Austria),cibeles: (Austria),puerta de alcala: (Austria),chueca: (Austria),callao: (Austria)
2016-07-17,<1,0,51,0,79,0,0,0,0,0
2016-07-24,<1,0,0,0,53,0,0,0,100,0
2016-07-31,1,47,0,0,0,69,0,0,0,0
2016-08-07,<1,0,35,0,0,0,0,0,0,44
2016-08-14,<1,0,37,0,0,0,0,100,0,94
2016-08-21,<1,48,70,60,0,0,0,0,0,44
2016-08-28,1,46,100,0,0,0,0,0,0,0
2016-09-04,<1,45,33,0,0,0,0,0,0,41
2016-09-11,1,0,0,0,50,0,0,0,95,41
2016-09-18,0,0,64,0,0,0,0,0,0,41
2016-09-25,1,0,0,37,100,0,0,0,0,41
2016-10-02,<1,0,0,35,47,0,49,0,0,0
2016-10-09,0,0,31,35,47,0,49,0,0,0
2016-10-16,<1,0,30,35,71,60,49,0,0,0
2016-10-23,<1,0,0,37,50,0,51,0,0,0
2016-10-30,<1,44,32,0,99,0,51,85,0,0
2016-11-06,1,41,0,0,46,59,0,0,0,38
2016-11-13,1,0,0,0,47,0,0,0,0,38
2016-11-20,<1,42,0,0,47,0,49,0,0,0
2016-11-27,<1,0,0,34,0,0,0,0,0,0
2016-12-04,0,0,30,0,0,0,0,0,0,0
2016-12-11,<1,0,30,0,0,59,0,0,0,0
2016-12-18,1,0,0,37,0,0,0,0,0,61
2016-12-25,<1,91,33,38,0,0,0,0,96,42
2017-01-01,<1,0,0,0,46,0,0,0,0,38
2017-01-08,<1,0,28,0,64,0,0,74,0,0
2017-01-15,<1,38,28,32,0,0,0,0,0,0
2017-01-22,0,38,27,0,0,54,0,0,0,0
2017-01-29,<1,37,27,31,42,0,0,0,0,0
2017-02-05,<1,57,55,0,0,0,0,0,0,0
2017-02-12,<1,38,28,0,0,0,0,0,0,35
2017-02-19,1,0,0,0,0,0,0,74,0,0
2017-02-26,<1,37,27,30,0,0,0,0,0,0
2017-03-05,<1,0,27,45,41,52,43,0,0,0
2017-03-12,<1,37,41,31,0,53,0,0,80,34
2017-03-19,1,38,27,32,0,0,0,0,0,35
2017-03-26,<1,0,0,66,0,0,0,0,0,0
2017-04-02,1,0,42,32,44,0,0,0,0,35
2017-04-09,<1,41,30,52,46,0,0,0,0,0
