Semana,Museo Nacional del Prado: (Países Bajos),Plaza Mayor: (Países Bajos),Parque de El Retiro: (Países Bajos),puerta del sol: (Países Bajos),gran via: (Países Bajos),Museo Nacional Thyssen-Bornemisza: (Países Bajos),Templo de Debod: (Países Bajos),Catedral de Santa María la Real de la Almudena: (Países Bajos),cibeles: (Países Bajos),Palacio de Cristal: (Países Bajos),Puerta de Alcalá: (Países Bajos),El Rastro: (Países Bajos),Plaza de Toros de Las Ventas: (Países Bajos),Chueca: (Países Bajos),callao: (Países Bajos)
2016-07-31,<1,45,0,41,81,20,0,21,56,0,0,0,0,0,37
2016-08-07,<1,60,0,83,45,0,0,21,57,0,0,0,0,0,0
2016-08-14,<1,46,0,0,69,0,63,21,0,0,0,59,0,39,29
2016-08-21,<1,43,0,66,53,20,0,20,56,0,0,0,0,0,27
2016-08-28,<1,40,0,0,65,19,55,18,52,0,61,0,40,33,42
2016-09-04,<1,40,34,0,49,18,0,0,51,0,60,0,0,33,38
2016-09-11,<1,39,33,36,72,30,0,0,50,0,0,0,0,0,37
2016-09-18,<1,81,34,0,32,0,0,19,0,0,0,0,40,34,34
2016-09-25,<1,59,33,36,59,18,0,18,50,0,60,0,0,33,61
2016-10-02,<1,0,0,36,24,18,53,0,0,52,59,0,0,0,37
2016-10-09,<1,0,0,36,82,27,0,18,50,0,0,0,0,32,49
2016-10-16,<1,0,0,36,60,18,0,0,0,0,0,100,0,0,42
2016-10-23,<1,40,34,0,48,18,0,0,50,0,0,0,0,100,37
2016-10-30,<1,0,0,35,47,18,0,0,49,52,0,0,38,0,72
2016-11-06,<1,51,0,35,23,17,0,0,0,0,0,0,0,0,24
2016-11-13,<1,38,32,0,23,26,0,17,49,51,0,0,38,0,47
2016-11-20,1,0,0,35,0,0,0,0,48,0,0,0,0,0,39
2016-11-27,<1,37,32,0,23,0,0,0,0,0,0,0,0,0,23
2016-12-04,<1,0,0,34,22,0,0,0,47,0,0,47,0,31,35
2016-12-11,<1,37,0,0,68,26,0,0,48,0,0,0,0,30,23
2016-12-18,<1,39,0,0,23,0,0,0,49,50,0,0,39,0,61
2016-12-25,<1,0,0,38,0,0,0,19,0,0,63,0,0,70,26
2017-01-01,<1,0,0,0,76,17,0,0,0,0,0,0,0,31,24
2017-01-08,1,0,0,0,44,17,0,17,46,0,0,46,35,0,34
2017-01-15,<1,0,0,33,44,0,0,0,0,0,0,0,0,30,34
2017-01-22,<1,36,0,49,44,17,0,16,0,0,0,46,36,30,45
2017-01-29,<1,35,30,32,64,16,48,0,0,0,0,0,0,0,37
2017-02-05,<1,0,29,32,50,16,48,0,45,0,0,44,0,0,100
2017-02-12,<1,36,0,33,33,16,49,16,45,0,0,0,0,30,52
2017-02-19,<1,54,61,33,43,33,0,17,0,49,0,0,0,30,34
2017-02-26,<1,35,30,33,50,16,0,0,0,0,0,68,0,60,33
2017-03-05,<1,35,29,32,42,0,47,0,44,0,0,0,34,29,0
2017-03-12,<1,52,44,48,42,0,0,0,0,0,0,0,35,29,33
2017-03-19,<1,0,0,0,50,0,0,0,0,0,0,0,0,0,88
2017-03-26,<1,36,0,33,44,25,0,17,46,0,0,0,0,0,23
2017-04-02,<1,36,30,0,29,17,0,0,0,0,55,46,0,0,23
2017-04-09,<1,48,31,34,0,17,49,0,47,0,0,0,0,30,0
2017-04-16,<1,36,31,0,44,0,0,0,46,0,0,0,0,30,45
2017-04-23,<1,37,31,0,68,26,0,17,47,50,0,0,0,31,23
2017-04-30,1,0,31,0,44,16,49,25,46,0,55,46,0,0,45
2017-05-07,<1,35,30,0,43,16,48,16,0,47,0,0,35,30,30
2017-05-14,<1,37,0,45,34,17,0,34,0,0,0,47,74,31,0
2017-05-21,<1,77,33,36,48,0,0,0,100,52,0,50,39,33,25
2017-05-28,<1,73,41,0,30,0,50,0,47,0,0,0,55,0,35
2017-06-04,<1,0,30,33,54,16,49,0,60,0,0,45,0,60,0
2017-06-11,<1,72,61,0,22,0,0,0,92,0,0,0,48,30,30
2017-06-18,<1,0,30,32,21,16,0,0,45,0,0,0,0,30,22
2017-06-25,<1,36,45,33,36,0,0,16,45,0,53,0,0,0,34
2017-07-02,<1,0,31,0,23,0,51,0,0,0,0,0,0,93,23
2017-07-09,<1,0,31,0,68,17,0,17,0,0,56,0,37,31,23
2017-07-16,<1,0,32,35,35,0,0,0,98,0,0,49,0,32,24
2017-07-23,<1,0,32,34,45,17,51,34,0,51,56,0,0,0,24
2017-07-30,<1,38,32,35,46,17,0,0,49,51,0,0,0,63,24
2017-08-06,<1,38,0,35,46,0,0,18,0,0,0,49,38,64,24
2017-08-13,<1,0,0,0,34,0,52,17,0,50,57,48,0,31,23
2017-08-20,<1,37,0,0,38,0,0,0,0,0,57,47,37,0,24
2017-08-27,<1,0,0,33,33,0,0,0,0,0,0,0,0,30,23
2017-09-03,<1,46,29,32,35,32,0,16,44,0,52,0,0,0,22
2017-09-10,<1,66,56,30,47,0,0,0,42,0,0,0,0,0,21
2017-09-17,<1,35,29,32,28,16,0,0,0,0,0,44,35,29,22
2017-09-24,<1,35,0,32,62,0,0,0,87,0,0,43,34,29,29
2017-10-01,<1,45,0,31,30,16,92,16,43,0,0,86,0,0,63
2017-10-08,<1,34,0,31,34,0,0,16,0,0,0,0,0,0,28
2017-10-15,<1,70,30,0,21,0,48,16,0,0,0,0,0,30,51
2017-10-22,<1,67,0,0,31,15,46,16,0,0,0,43,0,28,42
2017-10-29,<1,32,55,30,30,0,0,30,0,88,0,42,0,0,20
2017-11-05,<1,66,0,30,50,15,0,15,0,0,0,42,0,28,31
2017-11-12,<1,67,0,30,20,30,0,0,42,0,0,0,0,55,31
2017-11-19,<1,32,0,30,20,15,45,0,42,0,0,0,0,27,41
2017-11-26,<1,0,56,0,27,0,0,15,84,0,0,0,33,28,28
2017-12-03,<1,44,0,0,0,0,0,0,0,0,50,0,0,0,21
2017-12-10,<1,0,27,30,39,15,0,0,0,0,0,0,0,0,21
2017-12-17,<1,0,29,0,21,0,0,16,0,0,0,44,0,0,22
2017-12-24,<1,0,48,0,45,0,51,34,0,0,0,0,37,0,24
2017-12-31,<1,0,29,42,21,31,47,24,43,47,0,43,34,0,0
2018-01-07,<1,33,0,0,20,0,0,0,41,0,0,0,0,27,31
2018-01-14,<1,0,0,30,69,22,0,0,0,0,0,41,0,27,31
2018-01-21,<1,33,0,30,20,0,0,15,42,0,0,42,0,27,61
2018-01-28,<1,33,55,0,20,0,0,0,0,0,0,42,0,55,52
2018-02-04,<1,0,0,31,31,15,0,0,0,0,0,0,0,28,43
2018-02-11,<1,0,58,31,42,16,0,0,0,46,0,44,34,29,22
2018-02-18,<1,34,0,31,20,15,0,0,43,0,51,43,34,0,28
2018-02-25,<1,34,28,0,20,31,0,16,0,0,0,0,0,28,28
2018-03-04,<1,34,28,0,40,15,0,0,84,0,51,0,0,0,35
2018-03-11,<1,33,27,30,33,15,0,0,42,0,50,0,0,0,27
2018-03-18,<1,33,28,0,26,0,0,0,0,0,0,0,0,0,62
2018-03-25,<1,0,28,41,34,15,0,15,0,0,0,0,66,0,41
2018-04-01,<1,0,28,31,41,0,46,0,43,0,0,0,100,28,32
2018-04-08,<1,33,28,0,20,15,45,0,42,0,50,0,0,28,21
2018-04-15,<1,70,0,48,32,16,0,0,0,48,0,0,34,29,37
2018-04-22,<1,33,0,31,51,16,0,0,0,0,0,0,34,29,28
2018-04-29,<1,34,29,0,28,31,0,48,0,0,52,0,35,0,22
2018-05-06,<1,70,30,32,32,0,0,16,44,47,0,0,52,59,22
2018-05-13,<1,33,28,30,20,23,0,45,0,0,50,0,33,54,20
2018-05-20,<1,33,0,30,30,15,45,0,0,45,0,0,33,55,31
2018-05-27,<1,31,26,29,58,29,0,15,0,0,0,0,32,0,0
2018-06-03,<1,0,0,45,20,15,0,0,0,0,0,0,33,0,21
2018-06-10,<1,32,0,29,77,0,43,15,0,43,0,0,0,27,47
2018-06-17,<1,0,0,58,26,15,44,0,40,0,0,0,32,27,20
2018-06-24,<1,33,28,0,60,31,0,15,85,0,0,42,0,28,28
2018-07-01,<1,34,56,30,30,0,46,15,0,0,0,0,0,0,21
2018-07-08,<1,0,0,31,40,15,0,15,0,45,0,43,0,0,21
