Semana,Museo Nacional del Prado: (Francia),plaza mayor: (Francia),Parque de El Retiro: (Francia),puerta del sol: (Francia),gran via: (Francia),Museo Nacional Thyssen-Bornemisza: (Francia),templo de debod: (Francia),Catedral de Santa María la Real de la Almudena: (Francia),Plaza de Cibeles: (Francia),Palacio de Cristal: (Francia),Puerta de Alcalá: (Francia),El Rastro: (Francia),Plaza de Toros de Las Ventas: (Francia),Chueca: (Francia),san gines: (Francia),callao: (Francia),Calle de Serrano: (Francia)
2019-09-08,6,22,29,16,52,41,32,20,29,0,0,35,28,30,0,37,32
2019-09-15,6,35,26,14,51,27,0,60,0,52,23,35,33,20,0,34,64
2019-09-22,5,34,47,27,74,69,30,19,55,25,0,0,32,38,30,31,62
2019-09-29,4,50,47,13,34,19,0,19,41,74,0,34,0,19,29,27,0
2019-10-06,5,38,50,20,55,33,0,19,37,25,23,69,27,38,0,67,31
2019-10-13,7,51,56,20,50,39,30,29,0,25,34,46,16,29,30,45,47
2019-10-20,7,33,31,30,44,40,0,25,69,37,22,34,32,28,59,79,31
2019-10-27,8,33,37,33,24,32,30,25,55,24,22,34,47,19,29,52,0
2019-11-03,6,41,28,22,34,19,30,50,40,24,22,33,16,28,28,19,30
2019-11-10,7,25,37,31,78,29,0,19,27,25,22,0,24,19,43,17,30
2019-11-17,10,57,31,22,44,32,0,31,36,0,22,33,32,19,29,39,31
2019-11-24,4,18,18,30,33,28,29,27,26,35,0,32,15,18,42,25,0
2019-12-01,4,36,36,17,48,19,29,18,93,36,43,33,15,18,28,30,30
2019-12-08,7,36,42,15,24,38,29,46,53,0,0,65,15,18,0,34,0
2019-12-15,5,37,37,17,53,26,30,28,0,0,0,33,16,37,0,26,0
2019-12-22,5,28,31,20,38,29,0,42,61,27,0,37,29,42,97,36,34
2019-12-29,5,35,19,63,31,21,32,27,58,0,0,35,33,53,31,42,0
2020-01-05,4,16,18,29,56,28,29,36,0,0,0,0,30,30,0,29,29
2020-01-12,3,43,35,23,46,18,28,18,34,0,0,32,30,35,27,33,0
2020-01-19,5,48,30,17,28,19,29,37,88,24,0,0,15,18,56,25,29
2020-01-26,9,43,44,28,51,37,28,36,35,23,21,32,45,71,41,50,29
2020-02-02,5,52,24,13,42,37,0,18,52,0,0,65,15,18,56,51,0
2020-02-09,5,28,35,25,37,18,57,18,26,31,0,32,30,18,28,29,29
2020-02-16,3,48,27,17,33,37,29,18,35,24,22,32,15,30,28,46,59
2020-02-23,5,29,17,20,59,18,28,23,34,46,0,31,37,17,0,33,43
2020-03-01,4,46,57,22,27,36,41,26,63,22,20,31,29,29,0,36,28
2020-03-08,8,23,34,22,31,18,27,43,42,34,30,62,22,17,0,16,28
2020-03-15,6,64,16,11,21,25,52,33,47,0,0,0,14,0,0,23,53
2020-03-22,8,39,21,14,41,16,25,24,46,21,19,0,27,16,0,22,0
2020-03-29,6,21,42,19,25,33,51,0,31,0,19,29,13,16,49,17,0
2020-04-05,2,21,31,13,21,33,26,32,35,21,0,29,13,0,0,11,26
2020-04-12,4,16,24,8,21,50,0,0,36,21,19,59,0,16,0,28,0
2020-04-19,5,11,47,11,21,0,0,32,47,0,19,29,20,16,0,11,0
2020-04-26,4,30,45,16,12,16,24,15,0,20,18,55,13,15,24,11,25
2020-05-03,6,20,30,19,16,26,0,23,22,40,18,0,17,15,0,11,0
2020-05-10,5,21,42,17,17,17,0,16,59,21,0,0,13,0,0,19,26
2020-05-17,3,27,34,18,9,54,0,18,25,23,20,0,15,0,27,20,0
2020-05-24,4,22,33,8,17,17,27,25,24,22,39,30,14,17,0,20,0
2020-05-31,3,42,0,19,0,22,26,0,46,0,28,0,13,16,24,17,0
2020-06-07,5,16,16,11,17,17,0,0,35,0,19,0,13,16,0,15,0
2020-06-14,2,17,17,16,13,0,0,17,0,0,19,30,14,25,26,16,0
2020-06-21,2,12,26,21,18,18,0,0,34,23,0,0,30,18,27,25,29
2020-06-28,3,19,17,18,13,17,0,0,25,22,0,0,14,0,26,12,0
2020-07-05,2,28,0,25,23,28,0,18,0,0,21,32,15,27,0,19,0
2020-07-12,2,25,37,31,25,20,30,38,55,25,0,0,32,19,0,13,0
2020-07-19,1,37,18,28,29,19,0,19,54,24,0,0,0,18,0,13,30
2020-07-26,0,0,0,100,76,0,0,0,0,0,0,0,0,0,0,100,0
