,Semana,Cuevas del Drach: (Bélgica),bellver: (Bélgica),formentor: (Bélgica),soller: (Bélgica),galdana: (Bélgica),Albufera: (Bélgica),Benirras: (Bélgica),es vedra: (Bélgica),salines: (Bélgica),cala salada: (Bélgica),illetes: (Bélgica),Babaria: (Bélgica),magaluf: (Bélgica)
101,2017-07-09,0,0,0,69,0,44,66,30,24,0,0,0,21
102,2017-07-16,0,0,34,49,0,31,70,32,34,0,0,0,7
103,2017-07-23,0,0,32,53,0,44,67,30,24,0,0,0,25
104,2017-07-30,0,0,0,37,0,56,64,29,34,100,0,0,16
105,2017-08-06,0,0,60,72,0,28,63,28,23,0,0,0,14
106,2017-08-13,0,0,31,51,34,28,0,29,46,0,0,0,15
107,2017-08-20,0,0,0,36,33,28,0,28,22,0,0,0,7
108,2017-08-27,0,46,29,21,0,40,60,27,32,48,0,56,9
109,2017-09-03,0,0,0,48,0,26,0,54,33,0,0,0,11
110,2017-09-10,0,0,28,48,31,26,0,27,28,0,0,0,15
111,2017-09-17,0,46,0,42,0,0,0,54,33,0,34,0,10
112,2017-09-24,0,0,0,27,0,39,0,0,63,0,0,0,3
113,2017-10-01,0,0,28,46,0,25,0,0,0,0,0,0,5
114,2017-10-08,0,0,28,13,0,25,0,0,41,0,0,0,6
115,2017-10-15,0,0,0,33,0,51,0,26,42,45,0,0,3
116,2017-10-22,0,0,0,39,0,100,0,0,30,0,0,0,3
117,2017-10-29,0,0,0,27,0,53,0,0,21,0,0,0,7
118,2017-11-05,0,0,0,13,0,0,0,0,0,0,0,0,5
119,2017-11-12,0,0,27,32,0,25,0,0,30,0,0,0,3
120,2017-11-19,0,0,27,19,29,0,0,0,20,0,0,0,0
121,2017-11-26,0,0,0,26,0,0,0,0,20,0,0,0,0
122,2017-12-03,0,0,0,13,0,0,0,25,0,0,0,52,0
123,2017-12-10,0,0,0,25,0,24,0,0,19,0,0,0,3
124,2017-12-17,0,43,0,26,0,0,0,0,21,0,0,0,5
125,2017-12-24,0,0,30,36,0,28,0,28,0,0,0,0,3
126,2017-12-31,0,0,0,27,31,52,0,26,0,0,0,55,5
127,2018-01-07,0,0,0,38,0,24,0,24,0,43,0,0,3
128,2018-01-14,0,0,0,12,28,24,0,24,19,0,0,0,9
129,2018-01-21,0,0,0,25,0,24,0,0,39,0,0,0,6
130,2018-01-28,0,41,0,25,0,24,0,0,39,0,0,51,3
131,2018-02-04,0,42,0,19,30,24,56,25,40,0,0,0,3
132,2018-02-11,0,86,0,26,0,25,57,0,0,0,0,54,4
133,2018-02-18,0,0,0,25,0,25,0,0,0,43,0,0,3
134,2018-02-25,0,0,0,25,0,0,54,24,19,0,0,0,6
135,2018-03-04,0,41,0,38,0,0,0,0,19,0,0,51,4
136,2018-03-11,0,0,26,13,0,0,0,0,20,0,0,0,3
137,2018-03-18,0,0,0,38,29,24,0,25,20,0,0,52,3
138,2018-03-25,0,0,0,26,0,25,0,0,0,0,0,0,3
139,2018-04-01,0,0,0,56,32,54,0,27,22,0,0,0,9
140,2018-04-08,0,44,0,40,62,26,57,26,21,46,0,0,4
141,2018-04-15,0,0,0,20,0,52,58,26,0,0,0,0,3
142,2018-04-22,0,0,0,25,29,24,0,0,0,0,0,0,3
143,2018-04-29,0,42,40,58,29,0,0,0,20,0,0,0,6
144,2018-05-06,0,0,27,39,0,0,57,25,20,0,0,0,8
145,2018-05-13,0,0,26,44,29,24,54,0,19,43,30,0,3
146,2018-05-20,0,0,0,77,29,0,0,50,40,44,0,53,8
147,2018-05-27,0,0,25,60,0,47,0,0,19,41,29,0,10
148,2018-06-03,0,40,26,37,0,24,53,0,0,0,0,100,9
149,2018-06-10,63,0,24,47,0,34,0,0,27,40,0,0,6
150,2018-06-17,0,0,26,18,0,0,53,0,19,0,0,0,10
151,2018-06-24,0,0,0,26,0,25,0,0,30,0,0,53,6
152,2018-07-01,0,0,56,40,0,26,0,26,21,0,0,0,13
153,2018-07-08,73,45,29,41,0,35,0,27,42,0,0,0,9
154,2018-07-15,75,0,30,43,100,28,62,28,44,0,0,0,13
155,2018-07-22,75,0,30,28,0,55,0,28,37,0,0,0,10
156,2018-07-29,73,0,0,70,0,80,60,27,29,47,33,56,8
157,2018-08-05,70,0,27,40,0,76,0,26,0,0,0,0,15
158,2018-08-12,72,44,56,40,31,39,0,53,21,0,0,0,4
159,2018-08-19,0,44,0,66,31,26,57,26,48,0,0,0,4
160,2018-08-26,69,0,28,53,0,50,0,26,20,45,0,54,6
161,2018-09-02,0,86,0,33,0,25,0,0,20,0,0,53,6
162,2018-09-09,0,0,27,59,0,25,0,38,20,0,0,0,5
163,2018-09-16,0,0,0,58,0,0,56,0,40,0,31,0,6
164,2018-09-23,0,0,27,51,0,25,0,0,20,0,0,0,8
165,2018-09-30,68,0,81,51,0,25,0,0,20,0,0,0,3
166,2018-10-07,0,0,0,26,0,0,0,26,61,0,0,0,6
167,2018-10-14,0,42,0,25,0,24,0,0,19,43,0,0,0
168,2018-10-21,0,0,0,26,0,0,0,25,30,0,0,0,0
169,2018-10-28,0,0,28,40,0,38,0,26,0,0,0,0,0
170,2018-11-04,0,42,0,25,59,24,0,24,39,0,0,0,0
171,2018-11-11,0,0,26,12,0,24,0,24,19,0,0,0,0
172,2018-11-18,0,0,0,13,0,24,0,0,29,0,0,0,6
173,2018-11-25,0,0,0,25,0,0,0,24,19,0,0,0,3
174,2018-12-02,0,0,0,12,0,24,0,0,0,0,0,0,3
175,2018-12-09,0,42,0,13,58,0,0,0,20,0,0,0,3
176,2018-12-16,0,42,0,13,29,0,0,0,20,0,0,0,5
177,2018-12-23,0,0,0,15,0,0,0,28,23,0,0,0,4
178,2018-12-30,0,0,28,13,0,0,0,0,35,45,0,0,3
179,2019-01-06,0,40,0,31,0,23,0,24,19,0,0,0,4
180,2019-01-13,0,0,52,37,29,24,0,0,0,0,0,0,3
181,2019-01-20,0,0,0,24,0,45,0,0,18,0,0,0,3
182,2019-01-27,0,0,0,18,0,45,0,23,18,0,0,0,3
183,2019-02-03,0,0,26,18,0,36,0,24,19,0,0,50,4
184,2019-02-10,0,0,0,37,28,47,0,0,0,0,0,0,3
185,2019-02-17,0,0,26,25,29,36,0,24,19,0,0,0,6
186,2019-02-24,65,0,38,36,0,24,0,0,38,0,29,0,6
187,2019-03-03,0,0,53,38,0,36,54,0,39,0,0,0,5
188,2019-03-10,0,0,51,30,0,31,0,0,19,0,0,49,6
189,2019-03-17,0,41,26,50,0,24,0,48,26,0,0,0,6
190,2019-03-24,0,0,0,38,0,24,0,0,20,0,0,0,8
191,2019-03-31,0,0,0,37,0,36,0,24,19,0,0,0,8
192,2019-04-07,0,0,27,39,0,0,0,25,27,0,0,0,9
193,2019-04-14,0,44,0,27,0,26,0,0,21,0,0,0,6
194,2019-04-21,0,0,27,45,30,33,55,25,33,0,0,0,5
195,2019-04-28,0,39,0,30,55,23,51,0,28,41,0,0,4
196,2019-05-05,0,0,49,29,27,22,0,23,18,0,0,48,5
