,Semana,bellver: (Francia),cuevas del drach: (Francia),formentor: (Francia),palma aquarium: (Francia),soller: (Francia),cala galdana: (Francia),cala mitjana: (Francia),cala macarella: (Francia),cala macarelleta: (Francia),albufera: (Francia),cala pregonda: (Francia),favaritx: (Francia),benirras: (Francia),es vedra: (Francia),ses salines: (Francia),cala salada: (Francia),ses illetes: (Francia),es pujols: (Francia),babaria: (Francia),magaluf: (Francia)
17,2015-11-29,13,0,0,0,20,0,0,0,44,35,46,0,0,0,0,0,0,0,28,6
18,2015-12-06,13,0,0,0,13,0,0,0,0,27,0,0,0,0,0,0,0,0,0,6
19,2015-12-13,14,0,9,0,21,25,0,0,0,28,0,0,41,0,0,0,0,45,0,13
20,2015-12-20,16,0,0,47,23,0,0,0,0,36,53,0,46,0,0,0,0,0,0,8
21,2015-12-27,15,38,10,0,20,0,0,0,0,41,0,0,0,0,34,0,0,0,0,12
22,2016-01-03,40,0,9,0,28,0,31,0,0,27,0,0,0,0,29,0,0,0,0,16
23,2016-01-10,13,0,9,0,43,24,31,0,0,27,0,0,0,0,0,0,0,0,87,12
24,2016-01-17,14,0,9,0,36,24,0,0,0,18,47,0,0,32,30,29,0,0,0,14
25,2016-01-24,14,0,9,0,62,25,0,0,0,41,0,0,0,0,30,0,0,0,0,14
26,2016-01-31,14,0,9,0,39,0,0,0,0,68,0,0,0,32,0,0,0,0,0,17
27,2016-02-07,13,0,17,0,56,24,0,0,0,36,46,0,0,31,0,0,0,43,86,8
28,2016-02-14,28,0,0,0,29,38,0,31,0,51,0,0,0,32,31,0,37,0,0,22
29,2016-02-21,27,0,9,0,47,25,0,0,0,23,0,0,0,0,30,0,0,44,59,14
30,2016-02-28,13,0,0,0,41,24,0,0,0,45,0,0,0,0,0,0,0,0,44,16
31,2016-03-06,21,0,9,0,55,50,0,31,0,48,0,0,0,0,46,30,37,0,30,22
32,2016-03-13,14,0,18,0,42,25,0,0,0,42,0,0,0,0,0,30,38,0,30,23
33,2016-03-20,21,0,9,0,50,0,0,0,0,34,0,0,0,32,30,0,37,0,30,17
34,2016-03-27,21,0,12,42,55,25,33,32,46,35,0,0,0,0,0,0,74,0,0,18
35,2016-04-03,21,0,15,42,45,0,32,0,0,69,0,0,0,0,0,0,37,44,30,22
36,2016-04-10,21,0,12,0,30,0,0,32,0,43,0,50,43,100,31,0,38,45,30,24
37,2016-04-17,21,0,9,0,43,26,33,0,48,52,0,0,0,33,31,0,38,0,0,28
38,2016-04-24,23,0,9,43,64,0,0,0,47,37,0,48,42,33,31,0,37,45,30,23
39,2016-05-01,15,0,10,46,66,27,0,0,0,45,0,0,0,35,0,32,41,0,0,33
40,2016-05-08,62,0,13,0,29,37,32,0,0,28,0,48,41,32,30,0,0,44,29,24
41,2016-05-15,29,0,9,44,47,26,0,0,0,51,50,0,0,34,32,31,79,47,0,29
42,2016-05-22,21,0,18,43,51,51,33,0,0,42,0,0,0,33,31,0,0,0,30,28
43,2016-05-29,0,0,18,0,44,74,32,0,0,68,0,0,0,64,30,58,0,0,59,23
44,2016-06-05,0,0,15,0,35,0,33,32,0,24,49,0,0,33,32,30,0,0,30,21
45,2016-06-12,14,0,9,42,36,25,32,0,0,64,0,0,41,32,45,44,0,44,29,34
46,2016-06-19,14,0,14,88,39,0,0,0,0,39,50,0,0,0,32,31,0,46,31,40
47,2016-06-26,22,0,19,0,61,26,0,0,0,24,0,0,0,34,0,0,39,0,0,27
