Semana,Museo Nacional del Prado: (Todo el mundo),plaza mayor: (Todo el mundo),Parque de El Retiro: (Todo el mundo),puerta del sol: (Todo el mundo),gran via: (Todo el mundo),Museo Nacional Thyssen-Bornemisza: (Todo el mundo),templo de debod: (Todo el mundo),Catedral de Santa María la Real de la Almudena: (Todo el mundo),cibeles: (Todo el mundo),Palacio de Cristal: (Todo el mundo),puerta de alcala: (Todo el mundo),el rastro: (Todo el mundo),las ventas: (Todo el mundo),chueca: (Todo el mundo),san gines: (Todo el mundo),callao: (Todo el mundo),calle serrano: (Todo el mundo)
2015-12-27,1,72,33,39,66,60,76,18,28,51,56,61,22,90,37,63,79
2016-01-03,1,55,25,16,60,58,46,15,26,37,57,69,26,76,27,62,76
2016-01-10,1,51,30,15,51,47,41,10,20,39,54,67,31,68,26,59,67
2016-01-17,1,49,33,14,52,49,55,14,29,40,62,65,39,77,31,67,87
2016-01-24,1,49,34,13,49,51,46,30,23,53,49,61,35,77,23,68,97
2016-01-31,1,48,41,15,48,55,56,13,24,51,55,59,39,70,25,65,76
2016-02-07,1,49,28,16,57,88,57,14,22,46,51,62,39,74,27,66,69
2016-02-14,1,52,32,16,50,64,47,15,23,54,49,60,45,77,29,56,92
2016-02-21,1,53,28,16,50,69,44,13,29,57,54,64,45,69,26,61,70
2016-02-28,1,51,32,14,45,61,45,11,22,57,62,66,43,68,30,61,82
2016-03-06,1,49,32,17,45,66,54,15,23,69,59,67,48,73,28,58,80
2016-03-13,1,71,35,15,46,66,49,12,20,48,53,71,46,73,19,60,60
2016-03-20,1,61,39,16,51,67,87,15,21,54,43,58,34,72,36,53,64
2016-03-27,1,51,50,12,46,60,60,15,21,54,54,75,42,80,23,59,78
2016-04-03,1,45,36,14,47,55,59,13,21,47,59,64,49,71,33,60,60
2016-04-10,1,51,30,16,47,58,49,14,21,58,64,68,57,78,28,65,85
2016-04-17,1,52,37,14,48,54,58,14,19,66,65,64,56,78,27,61,67
2016-04-24,1,54,40,13,45,49,43,14,21,55,61,59,60,77,28,54,84
2016-05-01,1,63,39,15,53,48,45,14,24,52,65,64,77,74,25,54,62
2016-05-08,1,78,29,14,53,58,52,15,26,53,60,68,94,82,35,53,90
2016-05-15,1,61,50,16,49,67,67,15,25,69,56,63,94,71,23,60,60
2016-05-22,1,53,40,14,50,44,51,13,52,55,63,69,90,74,25,58,73
2016-05-29,1,53,48,16,48,41,52,13,94,69,64,70,91,78,37,55,64
2016-06-05,1,52,43,12,47,34,39,14,24,55,59,63,60,80,29,55,61
2016-06-12,1,56,34,11,49,38,51,12,25,46,50,54,49,75,23,56,79
2016-06-19,1,55,37,12,47,50,48,13,22,38,50,54,52,79,30,60,66
2016-06-26,1,59,37,15,48,44,61,12,23,39,53,54,41,94,29,63,74
2016-07-03,1,60,39,14,52,50,50,11,24,54,58,67,44,82,35,68,84
2016-07-10,1,57,33,13,45,48,61,15,26,28,60,60,39,70,27,64,64
2016-07-17,1,59,36,14,49,49,58,12,25,40,46,66,38,69,36,65,75
2016-07-24,1,69,54,14,48,49,43,9,23,48,53,68,39,74,24,60,52
2016-07-31,1,60,44,12,51,46,55,7,29,39,43,65,35,74,29,64,48
2016-08-07,1,58,47,12,44,40,57,11,24,41,35,60,39,73,37,62,43
2016-08-14,1,64,46,12,43,41,52,12,21,52,34,72,41,68,39,71,45
2016-08-21,1,61,33,11,43,42,60,14,19,46,47,67,41,67,82,66,48
2016-08-28,1,63,45,14,44,44,77,11,23,59,45,67,45,74,37,63,65
2016-09-04,1,66,41,15,49,43,73,14,22,55,53,63,57,75,42,60,71
2016-09-11,1,59,39,15,53,40,52,12,26,44,54,49,52,79,25,65,73
2016-09-18,1,56,40,12,55,40,57,14,21,56,52,53,51,75,41,63,77
2016-09-25,1,52,34,16,52,44,73,15,22,58,44,68,65,75,37,59,82
2016-10-02,1,55,44,14,53,41,47,18,24,65,64,59,50,75,30,61,82
2016-10-09,1,60,32,15,57,55,52,18,23,65,48,65,47,74,34,63,71
2016-10-16,1,53,33,14,49,100,51,17,23,61,56,79,42,77,37,59,67
2016-10-23,1,62,43,15,59,67,62,20,22,50,52,64,46,72,33,70,75
2016-10-30,1,54,41,14,52,60,66,34,23,59,52,59,40,72,42,62,56
2016-11-06,1,48,37,14,46,55,50,83,18,55,80,63,42,77,40,61,76
2016-11-13,1,53,42,18,50,68,45,17,23,54,52,71,49,74,41,61,76
2016-11-20,1,66,27,16,57,53,38,14,19,42,61,63,42,74,33,63,83
2016-11-27,1,60,29,20,57,54,52,12,17,41,54,58,39,74,38,59,81
2016-12-04,1,75,33,22,78,69,74,10,21,40,78,56,36,76,38,57,78
2016-12-11,1,64,26,16,54,50,56,10,21,31,58,53,29,67,27,62,92
2016-12-18,1,79,27,17,56,49,29,9,19,15,75,38,24,61,32,61,83
2016-12-25,1,74,30,32,60,67,50,9,21,45,50,49,19,74,31,63,58
2017-01-01,1,66,26,22,66,59,64,8,24,34,51,58,24,73,42,66,55
2017-01-08,1,50,20,16,55,54,38,8,18,27,45,62,28,69,36,61,87
2017-01-15,1,52,22,16,52,56,44,9,19,30,63,56,36,70,35,63,68
2017-01-22,1,52,27,15,53,49,59,8,18,33,51,58,37,69,28,67,55
2017-01-29,1,50,24,15,57,52,52,8,21,37,52,54,41,72,27,68,75
2017-02-05,1,57,30,16,53,44,51,8,17,44,64,58,39,77,45,68,70
2017-02-12,1,73,30,16,55,58,56,6,23,39,56,57,40,65,25,79,61
2017-02-19,1,66,39,18,48,51,66,6,24,48,50,62,41,66,31,84,65
2017-02-26,1,61,32,16,56,50,53,9,26,37,69,60,41,71,35,64,59
2017-03-05,1,58,37,15,48,41,54,7,25,38,51,58,44,59,45,60,61
2017-03-12,1,54,35,14,52,37,60,8,21,30,49,60,47,64,45,65,80
2017-03-19,1,61,35,13,54,39,52,9,25,54,51,70,42,70,44,63,70
2017-03-26,1,56,29,14,51,43,62,10,21,56,61,56,57,71,35,59,84
2017-04-02,1,53,32,15,50,36,54,8,24,46,59,62,53,72,31,61,67
2017-04-09,1,77,45,14,55,40,78,11,21,49,49,56,39,69,36,59,49
2017-04-16,1,69,35,15,51,40,65,9,23,37,60,61,45,65,29,62,58
2017-04-23,1,62,32,14,61,33,53,10,23,40,60,58,49,61,34,61,69
2017-04-30,1,62,39,13,54,38,64,9,21,29,47,66,66,61,31,60,60
2017-05-07,1,63,33,16,53,32,67,10,23,50,54,58,75,63,27,58,80
2017-05-14,1,63,54,16,46,41,72,11,28,40,44,58,94,70,36,58,66
2017-05-21,1,56,39,16,51,33,63,10,100,36,56,57,98,70,34,57,85
2017-05-28,1,52,44,13,52,46,73,8,57,41,57,53,88,70,34,60,91
2017-06-04,1,56,39,14,51,31,55,7,87,31,51,61,80,66,39,59,65
2017-06-11,1,53,34,14,51,36,56,8,24,46,53,53,67,67,28,66,69
2017-06-18,1,54,33,13,52,44,45,7,22,39,52,57,64,72,20,65,60
2017-06-25,1,58,39,16,57,39,59,7,27,28,74,59,43,96,27,64,63
2017-07-02,1,61,31,13,56,42,47,8,24,30,49,66,49,78,35,64,69
2017-07-09,<1,63,33,13,55,46,53,7,27,42,43,56,41,62,42,67,58
2017-07-16,<1,65,32,14,48,42,43,7,25,45,49,57,35,62,46,65,54
2017-07-23,<1,64,27,14,51,36,50,6,23,36,61,63,38,64,36,59,83
2017-07-30,<1,62,37,14,53,43,61,7,20,24,50,55,37,68,43,66,52
2017-08-06,1,66,33,12,46,40,49,7,22,31,51,66,36,61,42,61,57
2017-08-13,1,67,30,14,46,34,59,8,27,33,59,60,35,61,58,70,44
2017-08-20,<1,62,33,15,48,36,51,9,22,32,48,68,40,61,87,71,46
2017-08-27,<1,68,33,14,52,42,55,8,19,24,47,62,42,59,46,71,68
2017-09-03,1,63,32,15,56,40,53,10,23,40,50,61,43,59,36,60,83
2017-09-10,1,61,31,14,53,43,56,11,24,32,50,49,53,58,39,60,68
2017-09-17,1,62,40,17,55,48,71,11,24,36,32,51,46,53,28,63,73
2017-09-24,1,100,41,15,57,40,76,9,25,48,53,62,58,63,41,66,76
2017-10-01,1,76,36,20,58,57,72,13,27,53,53,64,48,51,31,57,56
2017-10-08,1,67,47,14,58,65,86,15,23,79,69,65,41,58,44,55,82
