Semana,Museo Nacional del Prado: (Dinamarca),plaza mayor: (Dinamarca),Parque de El Retiro: (Dinamarca),puerta del sol: (Dinamarca),gran via: (Dinamarca),Museo Nacional Thyssen-Bornemisza: (Dinamarca),cibeles: (Dinamarca),El Rastro: (Dinamarca),Plaza de Toros de Las Ventas: (Dinamarca),Chueca: (Dinamarca),callao: (Dinamarca)
2017-11-19,0,0,25,0,0,0,0,0,0,43,28
2017-11-26,0,0,0,0,0,0,0,0,0,0,40
2017-12-03,24,0,0,0,56,0,0,0,0,0,29
2017-12-10,0,41,0,0,0,0,0,0,0,0,30
2017-12-17,27,0,0,54,31,0,0,0,0,0,65
2017-12-24,29,49,0,0,34,0,0,55,0,0,53
2017-12-31,26,0,0,0,30,0,0,0,0,0,31
2018-01-07,24,40,0,0,56,0,42,45,0,0,38
2018-01-14,24,0,0,49,0,0,0,45,0,44,67
2018-01-21,49,41,0,0,42,0,0,0,0,0,59
2018-01-28,36,0,0,0,28,0,41,45,0,0,29
2018-02-04,0,0,0,0,57,44,0,0,100,0,79
2018-02-11,52,44,28,0,31,0,45,0,0,0,31
2018-02-18,25,42,0,0,29,44,0,0,0,47,30
2018-02-25,36,0,0,49,28,43,0,0,0,0,48
2018-03-04,24,0,0,0,55,0,0,45,0,0,38
2018-03-11,24,0,26,0,28,43,0,0,48,0,43
2018-03-18,0,0,0,0,0,0,0,0,0,0,30
2018-03-25,0,46,0,56,64,98,0,0,0,0,0
2018-04-01,49,62,0,0,29,0,0,0,50,0,0
2018-04-08,41,0,0,0,0,0,0,0,0,0,30
2018-04-15,50,42,27,0,0,0,0,0,0,0,0
2018-04-22,24,41,0,0,42,0,0,0,0,0,0
2018-04-29,36,0,26,100,0,0,0,0,0,0,0
2018-05-06,26,43,0,0,60,0,0,0,0,48,0
2018-05-13,0,0,27,51,29,0,0,0,0,0,0
2018-05-20,26,0,56,0,30,0,0,0,52,0,31
2018-05-27,37,0,0,0,29,0,0,0,0,0,0
2018-06-03,38,0,27,0,0,0,0,0,0,0,30
2018-06-10,0,0,0,0,27,0,0,0,0,0,28
2018-06-17,0,39,0,0,27,0,0,0,0,0,29
2018-06-24,26,44,0,0,0,47,45,0,53,48,0
2018-07-01,55,46,0,56,0,0,47,0,56,0,33
2018-07-08,27,46,30,0,0,49,47,0,0,0,33
2018-07-15,0,50,0,0,34,0,0,0,0,0,0
2018-07-22,0,0,31,0,33,0,0,54,0,0,34
2018-07-29,27,0,100,0,46,0,0,0,0,0,0
2018-08-05,58,42,54,0,58,0,0,47,51,0,60
2018-08-12,25,41,27,0,29,44,0,0,0,45,0
2018-08-19,74,62,0,50,29,0,0,0,50,0,44
2018-08-26,24,0,0,0,0,0,0,0,0,44,29
2018-09-02,25,0,0,50,29,0,0,0,0,0,30
2018-09-09,24,0,0,0,28,0,0,0,0,0,0
2018-09-16,37,0,0,0,28,44,43,0,0,0,89
2018-09-23,25,61,0,49,28,0,0,0,0,0,44
2018-09-30,32,41,0,0,28,0,42,0,0,0,44
2018-10-07,60,0,0,0,61,0,45,0,0,0,31
2018-10-14,28,46,0,0,32,50,0,0,0,0,67
2018-10-21,100,42,0,0,58,0,0,0,0,0,46
2018-10-28,0,0,0,0,0,0,0,0,50,0,40
2018-11-04,24,0,0,0,28,0,0,0,0,0,44
2018-11-11,25,42,0,51,29,0,0,0,0,0,45
2018-11-18,24,40,0,49,28,0,0,0,0,44,29
2018-11-25,36,41,0,0,0,0,0,0,50,0,29
2018-12-02,24,0,0,0,0,0,0,0,0,0,44
2018-12-09,25,0,0,0,29,0,0,0,51,0,30
2018-12-16,26,44,0,0,31,0,0,0,0,0,0
2018-12-23,29,0,0,0,0,0,0,0,0,0,35
2018-12-30,27,0,0,55,0,0,0,0,0,0,49
2019-01-06,24,0,26,0,28,0,0,0,0,0,88
2019-01-13,25,41,0,0,29,44,43,0,0,0,29
2019-01-20,25,0,0,0,0,0,0,0,50,46,30
2019-01-27,48,0,0,49,0,44,0,0,0,0,73
2019-02-03,25,0,0,0,58,45,43,0,0,0,60
2019-02-10,27,0,0,0,46,47,0,0,54,0,64
2019-02-17,24,41,0,50,28,0,0,0,0,0,29
2019-02-24,25,41,27,50,58,0,43,0,50,0,60
2019-03-03,0,0,0,0,42,0,64,0,0,0,58
2019-03-10,24,41,0,0,28,0,0,0,0,0,0
2019-03-17,0,41,0,51,0,0,0,47,0,0,45
2019-03-24,24,40,0,0,28,43,0,45,49,0,43
2019-03-31,51,0,0,0,0,0,0,0,0,0,61
2019-04-07,25,0,0,51,44,0,0,0,51,0,41
2019-04-14,29,48,0,0,33,0,0,0,58,0,0
2019-04-21,25,0,0,0,29,0,0,0,0,0,45
2019-04-28,24,40,26,0,28,0,41,0,0,43,29
2019-05-05,24,0,0,0,28,0,0,0,0,0,29
2019-05-12,0,0,54,0,58,0,0,0,0,46,61
2019-05-19,0,82,0,0,28,0,0,0,49,0,29
2019-05-26,49,0,0,50,0,0,0,0,0,0,0
2019-06-02,0,0,0,50,0,0,0,0,0,0,30
2019-06-09,37,0,0,0,29,0,42,0,50,0,30
2019-06-16,25,42,0,0,58,0,43,0,0,46,0
2019-06-23,26,45,0,0,0,0,0,0,0,0,32
2019-06-30,27,45,0,0,62,0,0,0,0,0,0
2019-07-07,28,93,0,0,0,0,0,0,0,51,100
2019-07-14,0,97,0,0,34,0,0,0,0,0,35
2019-07-21,59,0,0,0,34,53,0,0,0,0,36
2019-07-28,68,45,0,0,0,0,0,0,0,0,33
2019-08-04,52,0,0,0,30,0,0,0,0,0,32
2019-08-11,36,40,26,49,28,0,0,0,0,0,29
2019-08-18,24,41,0,0,28,0,0,0,0,0,0
2019-08-25,24,41,0,0,43,44,0,0,0,0,0
2019-09-01,23,0,0,48,55,0,0,0,48,43,0
2019-09-08,24,0,0,0,46,0,0,0,48,0,29
2019-09-15,24,0,0,0,28,87,0,0,0,0,58
2019-09-22,40,0,0,49,28,0,0,0,0,0,29
2019-09-29,59,40,25,0,0,43,0,0,0,0,43
2019-10-06,24,40,0,0,28,0,0,0,0,45,29
2019-10-13,25,42,0,51,29,46,0,0,51,0,60
2019-10-20,24,39,0,48,0,0,40,89,48,43,28
2019-10-27,36,40,0,0,27,0,0,0,0,0,28
2019-11-03,47,0,0,0,27,42,0,0,0,0,56
2019-11-10,23,0,25,0,54,42,0,0,0,0,42
2019-11-17,94,0,0,48,41,0,0,0,0,0,38
2019-11-24,22,37,0,46,26,40,0,0,0,41,27
2019-12-01,23,39,0,0,27,0,0,0,0,0,28
2019-12-08,23,39,25,47,0,0,0,0,0,43,28
