Semana;hotels madrid: (Todo el mundo);hostels madrid: (Todo el mundo);flights madrid: (Todo el mundo);free tour madrid: (Todo el mundo);sightseeing madrid: (Todo el mundo);hop on madrid: (Todo el mundo);must visit madrid: (Todo el mundo);things to do in madrid: (Todo el mundo);hop on hop off madrid map pdf: (Todo el mundo);airbnb madrid: (Todo el mundo);airbnb madrid centro: (Todo el mundo)
14/10/2018;40;47;29;48;35;96;0;68;47;83;31
21/10/2018;28;32;25;61;34;73;0;54;0;72;51
28/10/2018;31;41;27;63;48;29;36;48;47;66;46
04/11/2018;26;23;24;45;47;12;0;42;0;72;30
11/11/2018;32;38;24;61;20;61;35;55;0;71;72
18/11/2018;32;39;24;33;35;29;0;45;0;67;67
25/11/2018;28;33;26;37;40;60;0;47;0;75;71
02/12/2018;27;45;23;70;21;57;0;54;0;66;39
09/12/2018;29;13;24;26;27;57;36;48;0;45;31
16/12/2018;28;26;23;26;35;17;0;37;0;41;37
23/12/2018;29;36;25;40;54;55;40;58;52;57;58
30/12/2018;37;25;31;49;44;31;39;61;100;59;61
06/01/2019;44;38;36;37;27;20;35;78;0;76;51
13/01/2019;43;27;34;54;13;36;35;76;0;76;71
20/01/2019;41;41;33;56;13;32;0;53;0;74;45
27/01/2019;40;41;33;53;33;28;0;73;0;76;45
03/02/2019;40;41;31;53;40;40;34;66;45;75;25
10/02/2019;44;47;32;36;39;31;34;77;0;76;39
17/02/2019;45;27;36;53;79;24;69;72;0;73;30
24/02/2019;45;29;33;65;46;43;0;78;0;75;59
03/03/2019;43;52;34;43;34;36;0;76;0;65;25
10/03/2019;41;46;35;50;47;36;70;75;0;78;65
17/03/2019;39;52;33;54;61;65;35;65;0;67;38
24/03/2019;39;52;33;55;68;65;0;68;0;75;41
31/03/2019;37;42;32;39;54;33;0;69;46;77;46
07/04/2019;38;38;32;57;34;73;35;65;0;82;61
14/04/2019;42;37;32;61;56;88;0;84;0;70;55
21/04/2019;39;36;32;41;62;79;36;66;0;75;47
28/04/2019;43;46;35;65;54;61;53;75;0;69;51
05/05/2019;100;100;100;37;67;68;35;87;0;98;40
12/05/2019;60;46;43;66;47;61;35;73;0;75;51
19/05/2019;46;56;35;43;60;56;69;75;0;69;52
26/05/2019;47;48;40;58;27;76;35;89;0;75;45
02/06/2019;40;25;34;44;33;91;0;97;0;61;40
09/06/2019;38;37;32;34;39;75;0;87;0;80;30
16/06/2019;41;46;33;57;61;97;0;76;0;70;41
23/06/2019;36;39;33;46;46;60;35;66;0;69;20
30/06/2019;38;37;32;40;87;52;35;82;46;75;40
07/07/2019;38;21;30;35;47;44;35;87;0;78;30
14/07/2019;38;40;32;37;27;81;0;92;0;69;36
21/07/2019;35;32;34;55;48;74;36;68;0;69;21
28/07/2019;36;26;32;48;49;42;36;68;0;64;36
04/08/2019;31;32;29;67;41;37;72;81;0;71;41
11/08/2019;34;38;34;56;34;69;0;71;0;68;41
18/08/2019;31;40;35;68;34;64;0;78;0;68;38
25/08/2019;32;41;30;82;33;55;0;71;0;74;39
01/09/2019;46;44;34;63;19;66;0;65;44;89;44
08/09/2019;44;44;37;49;19;100;0;87;0;87;58
15/09/2019;46;60;37;41;83;100;33;72;0;77;72
22/09/2019;47;49;35;58;45;92;100;80;0;92;100
29/09/2019;42;53;35;80;13;64;33;57;0;85;57
06/10/2019;46;59;35;63;70;45;0;63;43;81;62
13/10/2019;43;41;37;64;32;64;33;72;0;79;80
20/10/2019;36;19;33;65;31;68;33;65;0;85;75
27/10/2019;33;33;30;100;31;71;33;56;0;83;66
03/11/2019;36;38;30;43;25;45;0;61;0;86;79
10/11/2019;39;31;32;44;31;11;0;68;0;77;60
17/11/2019;40;39;31;51;12;52;0;54;0;77;75
24/11/2019;42;40;31;68;31;45;0;49;0;88;56
01/12/2019;37;45;30;54;50;45;32;44;0;78;65
08/12/2019;34;49;30;44;25;23;0;54;0;50;42
15/12/2019;39;30;32;49;26;19;0;48;0;54;52
22/12/2019;41;32;32;69;28;62;0;71;0;74;31
29/12/2019;41;33;38;63;86;67;34;64;45;66;40
05/01/2020;50;36;41;44;31;37;32;69;0;86;60
12/01/2020;48;38;42;55;18;25;31;70;0;100;57
19/01/2020;53;38;39;44;30;44;32;62;0;83;64
26/01/2020;40;34;26;67;12;47;0;61;0;80;86
02/02/2020;44;43;27;72;30;18;0;64;0;98;71
09/02/2020;43;50;26;61;24;36;31;69;0;76;67
16/02/2020;40;48;25;69;65;42;31;76;0;80;62
23/02/2020;39;34;20;43;29;38;30;60;0;75;30
01/03/2020;26;34;18;41;23;24;0;51;0;60;26
08/03/2020;23;26;31;20;28;14;0;34;0;39;26
15/03/2020;16;21;15;8;11;7;0;9;0;15;0
22/03/2020;15;15;7;8;11;0;29;11;0;11;0
29/03/2020;10;15;5;6;0;6;0;13;0;8;0
05/04/2020;9;18;6;0;11;0;0;14;0;14;12
12/04/2020;13;10;6;0;16;7;0;11;0;10;12
19/04/2020;15;10;6;0;11;6;0;9;0;6;0
26/04/2020;13;13;5;4;0;0;28;12;0;14;12
03/05/2020;13;12;6;4;22;0;0;16;0;20;0
10/05/2020;17;14;6;4;11;7;28;9;0;21;12
17/05/2020;15;15;8;0;22;0;0;10;0;25;12
24/05/2020;14;9;7;0;11;20;0;8;0;31;25
31/05/2020;18;15;8;0;11;13;0;14;0;27;0
07/06/2020;19;12;7;8;11;0;0;15;0;39;25
14/06/2020;18;16;10;12;17;7;0;17;0;40;19
21/06/2020;23;19;8;4;0;14;0;15;0;38;26
28/06/2020;18;13;9;4;11;0;30;13;0;41;45
05/07/2020;17;14;8;12;12;14;0;15;0;38;20
12/07/2020;24;16;8;16;12;7;0;20;0;46;26
19/07/2020;19;17;8;22;24;0;0;16;0;29;13
26/07/2020;14;20;6;16;0;0;0;18;0;26;0
